"term","weight"
"listenin","16.2224483101"
"accomplishment","-103.51922035"
"wot","18.0474248982"
"wand","27.465407122"
"organized","62.1829470703"
"dragons","-28.0962374971"
"caution","88.7061982227"
"want","21.5706197941"
"hoe","36.278675344"
"hehehehehe","-156.148804149"
"travel","83.3043796744"
"feature","-18.181770564"
"machine","-25.3939226259"
"how","16.7141914092"
"hot","-20.4449559594"
"hop","48.1141853028"
"yum","2.16871810443"
"ronnie","-63.3016306167"
"hoy","-92.1393565834"
"yun","43.6917099867"
"dinosaurs","80.7392151185"
"wrong","5.02569011482"
"raiders","-89.8927207056"
"types","83.3757699418"
"effective","-108.48589884"
"wins","3.56321139874"
"keeps","23.0566257105"
"wing","-95.3205178962"
"wind","-26.9261555843"
"wine","35.7491403089"
"thousands","-12.5898622622"
"bubbles","98.5805400734"
"1-10","53.4868696362"
"fit","68.5237672762"
"bringing","-8.4056045768"
"rescued","160.215879509"
"wales","53.6121057106"
"fin","15.5688821509"
"easier","9.917996665"
"basta","31.7239089811"
"lambert","137.720109382"
"effects","-33.5170139991"
"schools","11.0614708511"
"silver","28.6798422172"
"represents","97.9986683306"
"crops","-140.008535161"
"addicted","82.7130031549"
"volcano","53.9700194274"
"financial","-29.0815208322"
"series","-22.71886491"
"allah","40.4543432802"
"spider","131.906620265"
"2day","6.50577811806"
"ring","-5.31078094936"
"whip","-58.6612494834"
"rt","8.7099801904"
"sms","3.87939344216"
"rd","42.607717606"
"smh","9.15429141229"
"ro","-46.3003360997"
"necessarily","113.665977261"
"sandra","-15.4611744619"
"sheet","109.649097535"
"metallica","-5.3395202103"
"ate","60.1560725704"
"ata","-86.0245244"
"atl","-175.71993036"
"atm","-82.8490081135"
"ups","-31.9521770571"
"att","-14.7422782769"
"today's","-8.82178223594"
"kingdom","-46.0999251418"
"9pm","26.2691545953"
"veggie","177.932211054"
"channels","169.936778908"
"spinning","69.4029921286"
"kfc","-55.124530119"
"clarity","-114.390179498"
"olds","159.231933344"
"basketball","-37.955282603"
"service","-17.1496261084"
"tango","46.3432351659"
"needed","31.7681205796"
"master","-72.1960865943"
"listed","58.2363268894"
"nlng","5.61745088332"
"gilbert","123.655611117"
"bitter","57.1051780888"
"listen","-27.2606310914"
"rewards","5.97141190524"
"collapse","112.222639702"
"cocktails","33.1163798562"
"wisdom","-1.56285251946"
"crawl","100.554995459"
"showed","-102.554212957"
"tree","4.21893859954"
"rusty","-42.6500825876"
"nations","5.66021413796"
"project","4.5365647819"
"tres","9.32038949475"
"feeling","13.0315109559"
"este","44.1064725486"
"esta","8.1349309957"
"runner","-97.8924858965"
"boston","-0.817752420781"
"picks","-12.2906040838"
"dozen","-100.983938342"
"kayo","31.8598044482"
"person","14.9885909859"
"responsible","-49.3118422489"
"recommended","48.9219968604"
"amusing","43.1116930585"
"hum","34.1947967179"
"shall","-18.0098566147"
"thrilled","114.056892127"
"doin","-41.5332018739"
"object","-3.80286261608"
"wells","-167.615982615"
"victoria","-74.5300497876"
"y","-3.66599457387"
"mouth","11.9434996221"
"addict","128.723185251"
"macbook","-238.209932143"
"thriller","-47.5254542948"
"laughing","66.0934668594"
"singer","21.7714428647"
"episode","-30.2030603813"
"released","-49.0964236735"
"professor","-83.0357327424"
"camp","18.0697107079"
"scream","29.1855398963"
"came","6.01347875397"
"marvel","-188.842352824"
"saying","-25.154739131"
"tequila","218.567311793"
"teresa","87.0481525115"
"lessons","16.5267085618"
"orleans","19.8824613144"
"touches","63.9766329583"
"busy","23.5585695022"
"layout","48.3485801356"
"louise","46.4550301658"
"ment","-11.1199154401"
"cousins","13.0143974706"
"bust","70.4949175036"
"than","-14.9594022151"
"rihanna","-207.850194283"
"bliss","69.078397628"
"rick","32.4896285582"
"rich","-81.5544133123"
"mend","-229.203390547"
"rice","-121.606502177"
"honda","-207.479245254"
"net","17.7688367856"
"lmao","2.57199412131"
"greens","42.0762793052"
"nicely","-75.5512751309"
"tights","309.877150854"
"patch","14.396572912"
"piggy","15.2828153939"
"respond","-139.463557377"
"blew","-110.863597549"
"disaster","49.8385877751"
"fair","20.1367103459"
"goodnight","-33.8749957026"
"sparkling","-11.3099063321"
"result","-8.2845874595"
"fail","-3.01982242826"
"bagay","38.9134256464"
"hammer","-196.22699213"
"best","-10.8041030959"
"lots","65.0514151674"
"rings","113.232961214"
"score","-47.860064022"
"melissa","72.8543285647"
"yogurt","1.12208710142"
"pirate","25.8837695449"
"discipline","-206.756422468"
"men","62.7411923335"
"extend","93.4783302578"
"wtf","-33.5206894569"
"debt","-23.5376856035"
"accident","23.3331511984"
"sacrificing","-29.1383009231"
"country","5.13679238914"
"edgar","119.912854213"
"planned","50.7558335699"
"lookin","-3.56687091631"
"logic","-88.6669803447"
"dora","78.3379459088"
"asked","-20.8095239646"
"vain","-23.9166701554"
"waaay","71.7386408498"
"niya","-32.6221357307"
"pregnancy","136.008956435"
"diff","85.212132623"
"blonde","188.826266978"
"source","-55.1241354676"
"chrome","-93.2175225113"
"fri","133.348582864"
"frm","-48.0314758484"
".","1.10856914624"
"twain","63.3172518076"
"much","-24.2008606077"
"fry","19.5762083861"
"jackass","-76.1158495532"
"ann","32.6689683293"
"life","-4.96748449668"
"sydney","32.4552350853"
"spit","-121.783241459"
"dave","-16.0379195662"
"chile","35.3852420976"
"child","38.9006347966"
"chili","-74.2924345438"
"haters","58.6020542694"
"spin","41.5420378784"
"cum","55.1462902685"
"chill","-59.3743338915"
"ada","-14.8997263626"
"flooding","21.3992478434"
"remembering","4.46513158624"
"bin","6.75240191565"
"played","-39.295117857"
"player","-20.0043528218"
"v-day","3.44436538738"
"violin","2.5955400824"
"ignoring","-33.2007227181"
"trusted","97.5733797482"
"things","-3.78796816588"
"toaster","-23.1498824132"
"craigslist","86.8798887792"
"split","-39.5308126973"
"babies","142.336862619"
"european","-14.0786169119"
"fairly","28.1924830893"
"boiled","10.8299925127"
"tuna","-9.14347131721"
"cocoa","26.1187547962"
"lucas","105.451271974"
"_________","55.5919372933"
"academic","-47.8279024589"
"nachos","38.1151310634"
"corporate","-13.9774928337"
"cam","34.8609790629"
"givin","-33.8308591526"
"sleepy","120.328104131"
"rushing","-4.92876426344"
"previous","-66.4499974117"
"hah","47.8599969658"
"hai","-8.08564921251"
"hal","-59.4470278425"
"ham","-59.5831308649"
"han","-109.952972397"
"phillips","32.3487090658"
"haa","9.80980022178"
"had","18.1349574894"
"hay","27.3354849814"
"innocent","4.2427344208"
"prison","-13.4134531217"
"har","11.4666262688"
"has","11.7379709268"
"hat","-21.8504322851"
"survival","59.7228118586"
"possible","2.98468974296"
"awhile","51.9372694647"
"possibly","33.7000740594"
"rocket","-26.2506403125"
"shadow","-5.06604041101"
"unique","-70.5501528999"
"6:00","-9.91261770419"
"desire","-40.4641001824"
"brought","-15.7946928665"
"seek","-81.6950996337"
"alice","74.505804362"
"steph","22.3097563868"
"remind","62.6555381992"
"festivities","-119.674914156"
"battlefield","-150.002624437"
"right","2.0121725316"
"old","2.50292676676"
"crowd","121.751738748"
"people","-2.66123905587"
"creed","-29.4768531855"
"crown","-59.4739830902"
"enemies","-23.4031401783"
"for","-6.66550160956"
"bottom","37.1265655631"
"pregnant","78.5209604216"
"fox","11.004959832"
"creative","96.0239346218"
"foe","-35.0098906284"
"fog","-131.583170328"
"umm","-35.55458311"
"shakes","55.0648080001"
"dental","61.3794543366"
"trampoline","58.0181338944"
"starring","-19.743464443"
"=d","4.23130687356"
"filipino","-137.592706668"
"visitors","214.198402178"
"dyin","-29.1218128191"
"dollars","-128.221854332"
"citizens","26.3809062441"
"o","-7.1263929943"
"despair","-9.92238331797"
"stoked","-53.7142557636"
"observation","-208.243335184"
"slightly","-27.648260054"
"ffs","-29.3417569586"
"raised","68.6498372541"
"sob","10.3065242466"
"marshall","61.9036055488"
"sol","82.9854797953"
"soo","41.409951167"
"son","-1.90687614591"
"thankful","28.5330793228"
"sos","-21.7871899539"
"soy","-1.79137509113"
"sox","37.1097126107"
"fabric","9.68464487073"
"waits","60.7816738697"
"support","6.3710455639"
"constantly","-37.4586828117"
"boy's","109.915230583"
"greatness","-23.0601878525"
"jane","68.8650718822"
"happy","19.9746504746"
"offer","-28.5541823845"
"tama","35.08083124"
"tigers","-7.11240161765"
"grrrrrrr","201.122234778"
"wakas","-118.062212078"
"congratulations","-33.702325822"
"calc","-83.4457155627"
"inside","-25.6032529631"
"talaga","57.3712668444"
"complications","-50.1296805854"
"smashed","77.5556811795"
"passenger","20.9953427255"
"later","13.2502226403"
"liberal","-20.39606968"
"minaj","-43.8560707755"
"tournament","-10.8610800626"
"textbook","194.47008999"
"exist","-34.3343400031"
"accounting","-36.1683356087"
"mrs","-17.0275525373"
"cassie","-34.8895120897"
"ehhh","111.749898876"
"floor","59.8608122823"
"flood","-24.4489434429"
"youand","-218.11131728"
"becuase","-6.83306837319"
"smell","31.6786025837"
"intend","-66.6211600805"
"hols","218.56265247"
"intent","-8.72226006602"
"smelling","11.2904725939"
"rolling","-69.6794878755"
"98","21.7677945457"
"ren","75.802196194"
"time","-22.916857122"
"push","-94.6370121403"
"puso","2.82216379109"
"gown","80.4690237631"
":/","-8.48753049217"
":(","10.0814598448"
":)","12.4904879509"
"whoever","-18.9367519088"
":<","58.378194758"
"skate","-208.506800126"
"::","-6.64461899573"
"chair","49.3627780936"
"hole","-34.9933110375"
"vet","37.8849931207"
"hold","-39.3685272154"
"ver","102.30850871"
"happpy","114.44186053"
"unpack","514.00857283"
"vez","-14.8061690064"
"hola","89.9110292331"
"96","37.2578292592"
"veterans","68.4359543108"
"downloading","-41.4226147744"
"jerk","9.77261764594"
":d","-0.271426238555"
"cheap","-24.9785129347"
":|","5.70604096538"
":}","14.8469746468"
"gloomy","-25.4916405228"
":x","4.96446947356"
"stays","17.4846903166"
"fullest","-21.2116555653"
":p","-15.9211874077"
"w00t","-77.4894704517"
"minute","43.631437622"
":@","4.93273529549"
"leave","2.02149441874"
"solved","-23.4315586247"
"settle","18.1608621879"
"elsewhere","58.6419374597"
"hittin","77.8364417818"
"team","1.04514843166"
"loads","49.0891919352"
"son's","70.7866670572"
"spiritual","51.6938318023"
"droid","-92.4924590708"
"sigh","4.01041188562"
"prediction","-4.97913987125"
"steaks","-214.35326449"
"shirts","-106.026271869"
"celebrated","90.3078018091"
"melt","38.4095001553"
"current","-3.06317979198"
"falling","12.5448335041"
"crashing","-35.5157942756"
"jury","47.17141057"
"funeral","43.4102444332"
"understanding","-85.3685246135"
"yards","43.5582304981"
"alone","-19.85916883"
"along","35.0088450818"
"redemption","-104.362335665"
"brilliant","13.6589298392"
"studied","60.8936311438"
"wherever","-36.124350456"
"example","-37.1312986739"
"studies","-57.8579190971"
"tasks","-49.596581575"
"love","5.34698106746"
"prefer","23.6977832087"
"bloody","-57.3382412154"
"fake","1.85297466647"
"sky","-57.8824126765"
"working","-1.00748361934"
"homesick","78.2508866873"
"positive","29.7711003432"
"angry","17.1463072956"
"opposed","-46.519633409"
"films","-76.0935280976"
"wicked","8.98490620143"
"introducing","-134.453471417"
"claus","-52.7744727782"
"oregon","-51.1494546816"
"sierra","39.2273667241"
"everywhere","42.1801710709"
"lalalala","77.5108897672"
"behalf","-18.7305741604"
"deserved","-34.2312993748"
"originally","70.3027220918"
"pretend","88.3025441861"
"believes","-63.8266109041"
"printing","128.576053096"
"values","32.4634974515"
"following","-10.4429064067"
"frogs","89.4898910502"
"muah","198.952799635"
"awesome","-21.0407313288"
"nascar","52.15567834"
"allowed","36.7556278332"
"winter","-82.7710589162"
"thanking","105.56343234"
"immune","89.5909225913"
"vancouver","-20.6468550086"
"t-shirts","-60.6949409331"
"laundry","82.125153965"
"blasting","-8.68950654967"
"latte","2.07833205204"
"applications","31.2846713584"
"date","-10.3965968388"
"such","7.99248213289"
"suck","-35.9531124263"
"dove","110.327531116"
"stress","41.1871098087"
"surfing","-41.929023695"
"ss","3.49523837667"
"sr","24.7270900328"
"sp","-44.1233365567"
"su","-32.5569638617"
"st","-9.16569820091"
"si","-0.77181509795"
"sh","-41.4517877245"
"so","19.7155108085"
"sm","64.2189305584"
"swollen","152.268250248"
"snowed","52.6384496211"
"pulled","-52.0237600732"
"sf","14.5274744941"
"sd","-86.4569569703"
"drunken","-53.6677730501"
"differences","103.205818592"
"years","-10.484464795"
"course","43.2218938366"
"episodes","-86.8669591301"
"kanye","73.8489765372"
"jim","-31.5914573088"
"stupidity","31.4334943505"
"celebrate","51.367534624"
"instantly","89.9130215152"
"smarter","-8.45760213635"
"insomnia","-54.8710672783"
"feelin","9.48012078538"
"records","8.25844721583"
"sorted","-42.3700058996"
"twilight","52.3915947678"
"\\","-9.89124336461"
"shouted","-58.8324977957"
"bowling","-24.4844227097"
"veins","68.0418001344"
"quarter","-12.0198539211"
"turtle","-4.95780282512"
"square","35.8993638232"
"giddy","43.714806428"
":'(","4.11713343369"
"canvas","-55.3513181799"
"fu","-30.589782464"
"sunburnt","23.2635793354"
"seriously","79.6600305738"
"exploding","-55.4045010828"
"internet","-11.274742129"
"formula","-51.6311143564"
"bla","-4.23665835053"
"sings","26.627524505"
"million","27.9830363364"
"seventh","-21.3301677452"
"possibility","39.930910876"
"quite","-24.1770693438"
"bumps","32.8947899707"
"crazier","214.998516558"
"besides","71.4606756091"
"grandma","93.1546169802"
"poems","27.0200393894"
"___","32.0264051096"
"scarred","270.726489739"
"training","-44.1023278047"
"dunno","24.3996809974"
"tasting","-16.9506352473"
"punk","-16.639920401"
"massive","-34.5584392634"
"cos","-4.09379416235"
"emotion","-211.677817189"
"intuition","84.6972350746"
"saving","23.0606340327"
"potter","94.3018962395"
"ong","-7.85923429709"
"one","-1.35877971809"
"spanish","-23.7587399492"
"vote","-22.61562254"
"open","-9.08795125412"
"city","-1.50914598165"
"wrath","-67.1181462206"
"bite","-66.7298403078"
"waist","45.9634309924"
"fml","-53.9105434106"
"typing","-23.6138560858"
"bits","-32.0715252843"
"williams","-41.6468993264"
"ridiculous","84.4373190527"
"boyfriend","384.576894845"
"bored","-3.77684059499"
"depressed","-53.2659759003"
"rehab","-30.4064087881"
"future","-26.6102057701"
"nie","10.2303510592"
"russia","-31.806461952"
"illness","42.6857129325"
"san","-17.1797101066"
"sab","77.4950203609"
"turned","-14.8654210988"
"argument","-120.845852675"
"sad","28.9943105177"
"woah","-5.28162919302"
"tastes","-35.9099019862"
"rained","-8.56720043526"
"buried","69.9402824881"
"allen","9.05026525544"
"saw","-8.33282189671"
"zoe","18.5840759403"
"cigarettes","55.6698901165"
"aside","23.0477906195"
"zoo","44.5036880525"
"note","-34.8341700549"
"omfg","-48.7181750593"
"jefferson","-29.801005932"
"take","4.20954500799"
"wanting","34.6189067229"
"butterfly","107.653506027"
"printer","4.41756627602"
"opposite","-20.0334374576"
"knew","6.93499207358"
"fails","28.2831912158"
"buffet","-56.8235084207"
"pages","1.79316159762"
"damage","-59.0299696198"
"peice","-7.22369125675"
"average","-31.8619064218"
"phil","13.5160173409"
"drive","-11.682157798"
"ways","19.7170730609"
"axe","-90.9409419379"
"link","37.6878565881"
"salt","-83.4083426798"
"laws","-4.5652041161"
"walking","-5.94900622803"
"bright","-108.28306768"
"ama","11.5405091104"
"foward","-49.4124191812"
"tears","88.7979241574"
"going","8.05262500232"
"actin","188.437286721"
"hockey","12.0741132372"
"caroline","-3.67649142794"
"carolina","10.4088633781"
"beatles","49.336054626"
"goodluck","-8.6309107"
"freezing","67.837949479"
"rad","-30.7391951097"
"awaiting","-102.141181099"
"settings","139.517774081"
"borrow","6.36947819373"
"worried","-36.4401319636"
"priest","-79.0712067802"
"roger","16.1588299508"
"where","-0.761966518282"
"vision","-25.2349473288"
"sucky","167.972318938"
"espn","-35.9519901158"
"wud","-8.46453254952"
"gangster","15.4528218867"
"anyways","6.73938489432"
"surgery","78.9337149482"
"harvey","27.0886300101"
"sites","-34.8008288342"
"ui","-1.15499751261"
"jumper","12.2143574134"
"jobs","50.4105406076"
"mature","-55.8393284098"
"farts","-73.0765292293"
"screen","24.7821781701"
"concentrate","90.7415266097"
"jets","-40.2647635812"
"spark","-77.5583069033"
"many","-11.0576725345"
"millionaire","87.1749691549"
"mana","-21.1115823731"
"s","8.2503885224"
"mani","135.410015114"
"can't","32.2778391496"
"fi","24.4353034303"
"como","-18.163035135"
"stream","-89.8590713421"
"ants","81.9147667959"
"twin","24.1342098365"
"3000","-44.1098910852"
"comeback","68.9261111058"
"caring","0.641211856847"
"teddy","34.4970087814"
"west","28.3897513549"
"breath","12.9450931152"
"wants","4.75212254448"
"lanes","27.8831106952"
"influence","29.5788608056"
"thousand","-29.4077620048"
"formed","7.15346243128"
"photos","47.4260016267"
"runnin","62.2786613367"
"single","-84.9435813696"
"ive","-21.7339887545"
"engaged","10.1345537514"
"bros","-98.4535132339"
"pinky","44.4482408876"
"blah","-0.40805594481"
"technology","1.32654109392"
"dragging","44.5581053964"
"immense","5.22852628366"
"lyk","6.51674177128"
"cramming","82.6619278868"
"sickness","73.8769207357"
"cheers","-66.770351109"
"barber","-267.009595381"
"awesomeness","8.87779373014"
"coursework","-37.5518712238"
"trains","-94.2049622338"
"hubby","525.153731832"
"summer","32.0276582017"
"morons","-85.9869379129"
"being","17.4006309535"
"rest","-6.97328133387"
"hayley","41.372855265"
"weekly","20.6726158442"
"grounded","71.2297871468"
"bricks","-17.8990753085"
"skies","-132.520239887"
"(:","23.3686979969"
"(8","-18.4594360411"
"aspects","-5.46963550855"
"around","-3.06614113154"
"(=","17.437643779"
"cuando","-4.39434013542"
"dark","-6.41517465273"
"dari","-66.8291142593"
"traffic","83.3367266047"
"darn","26.2886099701"
"vacuum","-17.3913936749"
"world","-32.7079292108"
"dare","8.16194528997"
"satisfaction","85.4695494229"
"stranger","47.2820909574"
"tsunami","-29.7680515341"
"clay","167.322948171"
"depend","65.8680838111"
";p","-7.75981572094"
"learning","52.7242789493"
"ewwww","62.5216842774"
";d","25.9010419343"
"diving","107.362211687"
"divine","-74.0519658748"
"thinks","15.4401390925"
"whooo","-85.9178586292"
"memories","-5.33590335927"
"noon","40.9483271149"
";]","19.1527523353"
"exit","108.653348115"
"runaway","44.3837529025"
"23rd","65.5722800992"
"refer","-30.9646326584"
"transformers","-224.177849885"
"scientific","39.6900109835"
"power","-44.452397915"
"internship","75.7797170524"
"leadership","-30.2731013785"
";)","17.7395600495"
";(","70.6492856315"
"stone","-24.4966590887"
"ace","-83.8559731045"
"industry","58.6927823552"
"favorite","53.198386772"
"side","3.89869342456"
"neighbor","9.52210644006"
"act","-32.5726856564"
"luck","9.6878214638"
"burning","-32.5344445704"
"freaked","189.314768494"
"makan","-10.9831326132"
"technically","-84.4956987819"
"cared","-74.7898293082"
"legacy","-97.1885285424"
"her","31.763630272"
"hes","98.0606193202"
"philadelphia","-2.14125767306"
"sides","24.2691263835"
"hee","29.1233264481"
"mindless","125.612672256"
"hen","129.73491804"
"bubble","46.7969525716"
"lang","2.08856083322"
"complete","-34.0395473195"
"survived","-19.6763379167"
"mice","-79.3444680128"
"with","4.47370082024"
"buying","4.3619096646"
"handsome","-34.0565599297"
"abused","-92.6957782854"
"rush","-11.1979633829"
"october","50.573737652"
"monopoly","-44.9860489682"
"flirt","-70.6491694132"
"dawg","-18.1632958679"
"blankets","18.6393667589"
"dirty","-41.5729765244"
"trips","-25.1974904531"
"aa","-23.6752394203"
"gone","-15.765714718"
"ac","-47.1024485451"
"gong","-5.31216009276"
"ohh","8.86054274811"
"ad","41.4563139074"
"johnny","-19.5480139078"
"exhausted","-24.3856427034"
"ah","3.798273388"
"forgot","-10.6987932433"
"am","5.34502615456"
"al","6.61558388999"
"aq","-9.05126887578"
"ap","-27.0726671753"
"ar","-43.0914145881"
"au","6.10227506067"
"at","-14.8585802345"
"aw","92.7421242434"
"walks","-49.0168548532"
"ay","4.72418611184"
"watched","-1.4077640194"
"az","28.6644876081"
"cream","61.7139290025"
"yoga","58.0774650904"
"graduate","43.0799202499"
"tight","-48.4895774455"
"yummmm","335.502264187"
"someones","-39.0193309557"
"puppy","88.7574553454"
"gifts","5.81885008861"
"terry","27.644796815"
"natalie","146.103279863"
"tricks","-15.75197071"
"oprah","48.916001491"
"mask","-91.5708386925"
"dyed","237.903158221"
"having","30.4268362343"
"mass","-37.1087725348"
"adam","37.2127508337"
"original","-72.5258596249"
"9/11","30.3149238505"
"caused","34.8698989318"
"songz","139.507463558"
"subjects","100.663615671"
"causes","42.6770385462"
"andrea","46.7800427013"
"tx","4.62433984758"
"sparkle","83.4375377198"
"tv","32.8275190551"
"tt","33.8722015932"
"tu","23.3681788973"
"to","-0.647122139285"
"tail","-54.6118618275"
"tm","1.84791807962"
"chewing","120.859544297"
"th","-13.2523518363"
"dressing","70.9878823322"
"smile","1.15688056582"
"td","36.2222792132"
"te","5.88248025115"
"tc","113.521769719"
"ta","-9.08730484413"
"appointment","-66.0746100956"
"returned","-84.8848388185"
"myself","41.5653294508"
"diary","85.3791205964"
"labor","-67.6358049622"
"24th","-24.2443499672"
"`","5.71562284826"
"cable","-3.4781535744"
"shenanigans","64.7863434983"
"awsome","-53.9826528877"
"laying","7.19753563754"
"joined","37.6189955964"
"deja","-74.1237132443"
"sane","-57.609602776"
"harry","40.9369877777"
"small","12.4477932167"
"maggie","2.94228051564"
"quicker","-75.3913070074"
"past","10.7639926413"
"pass","3.08645062497"
"strep","30.3385414869"
"richard","-33.8129986339"
"section","-1.21033410196"
"fucks","-27.0409015223"
"nurse","-6.10347982076"
"cody","-96.6283228278"
"method","-37.9584994295"
"full","-24.8002169406"
"escaping","226.61118067"
"hours","-16.6966862073"
"smartest","-204.879234473"
"ganda","-65.2339538419"
"november","12.4680743123"
"legend","-126.152236878"
"experience","-19.2405183947"
"pics","54.0396885156"
"hamster","193.147619505"
"pick","20.9684355463"
"would've","-222.922658576"
"sweetness","12.3293085802"
"day's","-18.1660575353"
"via","14.0075785403"
"grapes","109.975102562"
"vid","35.9178333856"
"kiss","-14.9715285173"
"vip","-79.2370587066"
"gosh","116.285928079"
"select","90.9550565239"
"pearl","98.3162210401"
"morn","-25.5981246793"
"gorgeous","94.5945411916"
"more","6.84972812044"
"door","13.2682858925"
"company","-4.3185152524"
"tested","14.1096082961"
"doom","-61.0226406048"
"pleasing","52.1979616745"
"farted","-286.213525534"
"installing","-311.47204204"
"mall","-41.7450674258"
"morgan","-0.470693072403"
"learn","22.9577455347"
"knocked","-109.505928303"
"male","49.6573706651"
"beautiful","11.765249"
"scan","121.362551215"
"rodriguez","21.3092325741"
"dislikes","-141.684947218"
"autumn","38.4338251282"
"donating","24.7170591634"
"salty","154.839110322"
"gallon","-8.150210252"
"scar","-3.17467012269"
"dress","350.320676072"
"huge","18.3884948493"
"xxxx","47.9952208101"
"hugh","311.064540696"
"disturbed","49.9507087509"
"hugs","44.280327761"
"browns","-189.437445284"
"creature","59.9134190807"
"plant","33.6899648021"
"plans","18.2440985934"
"brett","53.0140871643"
"soundtrack","48.6365613676"
"plane","7.90705574077"
"waves","18.1484635499"
"backyard","150.146249827"
". . .","-4.59601458833"
"refuse","127.825168739"
"register","15.9374937423"
"volleyball","57.8962347559"
"stewart","152.694696385"
"patio","-6.22009133576"
"replied","-57.7716213661"
"ito","-90.7812595794"
"mexican","-104.092096293"
"attitude","55.9820252746"
"signs","28.3969539272"
"broadway","-129.312194792"
"smiling","-30.6681956614"
"itu","9.95211261286"
"its","-0.33339126729"
"bummed","23.0516759259"
"figuring","104.874497102"
"pronto","-74.0444716681"
"deeds","44.0680052962"
"wrk","18.4388791416"
"aaaaaaaaaaaaaaaaaaaaaaaa","-13.5121205024"
"symptoms","77.6340987825"
"ruining","110.906806703"
"isaac","-141.990043667"
"travelling","44.4149372509"
"sauce","-103.340693456"
"skipped","0.481622126354"
"entire","-8.81595517435"
"sucker","-24.5282182736"
"snowball","-40.9307157179"
"olivia","-48.2871104436"
"sucked","-44.4610699411"
"everytime","72.9845700184"
"always","-17.6503109484"
"warped","-48.6056745181"
"eva","55.2303891233"
"found","-5.16960193103"
"shocking","41.9828087649"
"yehey","2.36343778901"
"status","-14.1342365458"
"england","-28.0267295585"
"upstairs","77.5765062216"
"they've","-40.7502641283"
"tonite","-55.5862830504"
"blues","56.6329534724"
"really","22.0613365318"
"anxious","-3.45660456455"
"missed","52.5526378459"
"ftw","-105.004367225"
"research","63.8573917908"
"offline","29.724925792"
"salute","-116.960733567"
"risen","-22.8023889554"
"imagine","-9.18443312943"
"pairs","53.4865230107"
"woman's","191.763060837"
"w","17.8684734858"
"bumper","-57.6160251306"
"castle","-11.9240035659"
"major","-8.66563242664"
"slipped","-78.5344221838"
"number","-54.8426889751"
"kobe","-124.07151776"
"guess","-4.75476876155"
"saint","-63.9673566976"
"essays","-6.25733624254"
"jen","41.1000124003"
"relationship","-38.8262375261"
"longing","128.255969294"
"mmmm","43.5757575596"
"appreciation","47.9200932735"
"stairs","155.398599165"
"grace","40.6059013618"
"obama","23.8115229491"
"aaa","84.8773331955"
"walmart","33.6748251402"
"aaj","-24.0168329799"
"tummy","152.997818287"
"determined","95.9461372872"
"marriage","88.8054942187"
"bhi","52.7655056454"
"fights","54.4676046207"
"recital","28.1739918805"
"blond","127.654539891"
"tht","-8.32408386611"
"sell","-44.0751504487"
"abt","27.6532751264"
"odd","-67.5524889219"
"self","-35.8563338216"
"also","4.29584621"
"internal","74.2310707725"
"brace","90.1485048377"
"play","-20.4763545108"
"singles","-94.910688863"
"yawn","-75.0347625492"
"virus","5.18805723121"
"plan","25.8365062112"
"________","-79.2816657348"
"seize","-103.74759551"
"sometimes","26.6261080875"
"cover","10.0277596427"
"dragged","16.8394595302"
"despise","161.728741305"
